,Código,Cod,Nome Comercial,Div. Yeld,P/VP
588,MLPA12,"""MLPA12"",",MELHORAMENTOS PAPEIS,"0,0%","0,00"
589,MLPA3,"""MLPA3"",",MELHORAMENTOS PAPEIS,"0,0%","0,00"
590,MLPA4,"""MLPA4"",",MELHORAMENTOS PAPEIS,"0,0%","0,00"
591,MMAQ3,"""MMAQ3"",",MINASMÁQUINAS S/A,"0,0%","0,00"
592,MMAQ4,"""MMAQ4"",",MINASMÁQUINAS S/A,"0,0%","0,04"
593,MMXM3,"""MMXM3"",",MMX MINER,"0,0%","-0,1"
594,MNDL3,"""MNDL3"",",MUNDIAL S/A,"0,0%","-0,8"
595,MNDL4,"""MNDL4"",",MUNDIAL S/A,"0,0%","-0,0"
596,MNPR3,"""MNPR3"",",MINUPAR,"0,0%","-0,1"
597,MNPR4,"""MNPR4"",",MINUPAR,"0,0%","-0,0"
598,MNSA3,"""MNSA3"",",MANASA,"0,0%","0,00"
599,MNSA4,"""MNSA4"",",MANASA,"0,0%","0,00"
600,MOAR3,"""MOAR3"",",MONTEIRO ARANHA,"12,3","3,79"
601,MODL11,"""MODL11"",",MODALMAIS,"1,6%","2,40"
602,MODL3,"""MODL3"",",MODALMAIS,"1,4%","2,69"
603,MODL4,"""MODL4"",",MODALMAIS,"1,7%","2,22"
604,MOSI3,"""MOSI3"",",MOSAICO SA,"0,0%","1,44"
605,MOVI3,"""MOVI3"",",MOVIDA,"2,0%","1,85"
606,MPLU3,"""MPLU3"",",MULTIPLUS,"0,0%","17,3"
607,MRFG3,"""MRFG3"",",Marfrig,"13,3","3,09"
608,MRSA3B,"""MRSA3B"",",MRS LOGÍSTICA S/A,"0,0%","2,66"
609,MRSA5B,"""MRSA5B"",",MRS LOGÍSTICA S/A,"0,7%","3,12"
610,MRSA6B,"""MRSA6B"",",MRS LOGÍSTICA S/A,"0,9%","2,47"
611,MRSL3,"""MRSL3"",",MARISOL,"0,0%","0,99"
612,MRSL4,"""MRSL4"",",MARISOL,"0,0%","0,91"
613,MRVE3,"""MRVE3"",",MRV,"3,4%","1,04"
614,MSAN3,"""MSAN3"",",BUNGE BRASIL S.A.,"0,0%","0,00"
615,MSAN4,"""MSAN4"",",BUNGE BRASIL S.A.,"0,0%","0,00"
616,MSPA3,"""MSPA3"",",MELHORAMENTOS,"0,0%","0,39"
